CustomerID,Age,Gender,Occupation,AnnualIncome,MaritalStatus,EducationLevel,City,CityTier,AccountType,AccountAgeMonths,AvgMonthlyBalance,CreditScore,LoanType,LoanStatus,EMI,HasCreditCard,CardUtilizationPct,PriorCampaignContacts,DaysSinceLastCampaignContact,PriorCampaignOutcome,_persona_archetype
CUST00001,69,Female,Retired,348327.04,Divorced,Secondary,Indore,Tier2,Senior Citizen,151,452897.21,766,None,None,0.0,0,0.0,1,56.0,Other,Retiree Conservative
CUST00002,30,Male,Salaried,294971.4,Single,Secondary,Nagpur,Tier2,Salary,54,13368.89,655,Home Loan,Active,8311.62,1,35.4,0,,Never Contacted,Young Digital
CUST00003,36,Male,Salaried,231144.61,Married,Secondary,Indore,Tier2,Savings,94,15998.92,410,Auto Loan,Active,5207.64,1,71.6,0,,Never Contacted,Credit Stressed
CUST00004,38,Male,Salaried,178819.66,Divorced,Primary,Chennai,Tier1,Savings,43,1886.91,544,Personal Loan,Active,2289.74,1,24.6,7,166.0,Failure,Dormant Inactive
CUST00005,44,Female,Business Owner,917548.91,Married,Secondary,Patna,Tier3,Salary,114,812887.78,816,Home Loan,Closed,0.0,1,16.2,0,,Never Contacted,Priority Affluent
CUST00006,59,Female,Business Owner,597854.77,Married,Tertiary,Ahmedabad,Tier2,Savings,172,405653.68,762,None,None,0.0,0,0.0,0,,Never Contacted,Business Growth
CUST00007,56,Female,Retired,285862.05,Married,Tertiary,Bengaluru,Tier1,Current,97,147643.1,757,Personal Loan,Active,5488.32,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00008,58,Male,Homemaker,260950.4,Married,Tertiary,Chennai,Tier1,Salary,1,255581.43,741,Personal Loan,Active,6507.16,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00009,34,Female,Salaried,388839.75,Married,Secondary,Bengaluru,Tier1,Savings,83,39797.18,720,Home Loan,Active,6376.3,1,28.1,0,,Never Contacted,Mass Salaried Regular
CUST00010,35,Female,Self-Employed,340540.94,Married,Secondary,Mumbai,Tier1,Savings,216,12668.41,676,Personal Loan,Active,5298.63,0,0.0,2,205.0,Other,Young Digital
CUST00011,32,Male,Salaried,332616.42,Married,Secondary,Chennai,Tier1,Salary,127,158416.24,691,Home Loan,Defaulted,0.0,1,26.7,0,,Never Contacted,Mass Salaried Regular
CUST00012,43,Male,Business Owner,997080.45,Married,Tertiary,Delhi,Tier1,Savings,58,1344002.87,745,None,None,0.0,0,0.0,5,77.0,Failure,Business Growth
CUST00013,54,Male,Salaried,141628.72,Married,Unknown,Kolkata,Tier1,Savings,224,7290.79,561,None,None,0.0,1,11.2,0,,Never Contacted,Dormant Inactive
CUST00014,58,Female,Salaried,465107.97,Divorced,Primary,Bhopal,Tier3,Salary,130,55981.64,393,Home Loan,Closed,0.0,1,83.7,10,111.0,Failure,Credit Stressed
CUST00015,28,Female,Student,120000.0,Single,Tertiary,Lucknow,Tier2,Student,102,14054.72,615,Home Loan,Active,2164.25,0,0.0,0,,Never Contacted,Young Digital
CUST00016,31,Female,Salaried,651937.48,Divorced,Secondary,Kochi,Tier2,Current,61,43646.3,664,Home Loan,Closed,0.0,0,0.0,9,350.0,Other,Mass Salaried Regular
CUST00017,60,Other,Salaried,284627.09,Divorced,Secondary,Patna,Tier3,Senior Citizen,159,13740.96,695,Home Loan,Active,4538.41,0,0.0,1,364.0,Failure,Young Digital
CUST00018,59,Male,Professional,2328664.66,Married,Tertiary,Kochi,Tier2,Savings,60,265519.26,764,Personal Loan,Active,50025.5,1,13.1,0,,Never Contacted,Priority Affluent
CUST00019,36,Male,Self-Employed,442050.33,Single,Primary,Mumbai,Tier1,Savings,100,15889.04,417,None,None,0.0,1,67.8,0,,Never Contacted,Credit Stressed
CUST00020,58,Male,Salaried,220095.45,Married,Primary,Kochi,Tier2,Salary,107,7905.9,657,None,None,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00021,69,Male,Retired,280019.99,Married,Secondary,Hyderabad,Tier1,Senior Citizen,49,124490.09,746,None,None,0.0,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00022,30,Female,Professional,668105.85,Single,Tertiary,Kochi,Tier2,Savings,80,90676.94,749,Home Loan,Active,5525.92,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00023,37,Female,Business Owner,1229986.73,Married,Tertiary,Delhi,Tier1,Salary,186,405365.99,739,Home Loan,Active,27925.05,1,47.0,0,,Never Contacted,Business Growth
CUST00024,40,Male,Self-Employed,523604.13,Married,Secondary,Indore,Tier2,Salary,80,2013.24,413,Personal Loan,Active,6042.74,1,72.6,0,,Never Contacted,Credit Stressed
CUST00025,72,Female,Retired,303958.57,Married,Primary,Bengaluru,Tier1,Senior Citizen,150,244487.64,726,None,None,0.0,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00026,46,Male,Salaried,391909.51,Married,Secondary,Ranchi,Tier3,Salary,54,61098.63,700,Home Loan,Closed,0.0,1,36.9,0,,Never Contacted,Mass Salaried Regular
CUST00027,28,Female,Salaried,120000.0,Married,Secondary,Ahmedabad,Tier2,Salary,124,21611.69,680,Home Loan,Active,3397.94,0,0.0,0,,Never Contacted,Young Digital
CUST00028,41,Male,Salaried,1913904.47,Married,Secondary,Chandigarh,Tier2,Salary,104,1057805.1,812,Home Loan,Active,19403.23,0,0.0,0,,Never Contacted,Priority Affluent
CUST00029,44,Male,Salaried,558117.01,Married,Primary,Hyderabad,Tier1,Savings,99,232114.87,730,Home Loan,Active,13215.52,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00030,25,Male,Salaried,157776.77,Single,Secondary,Indore,Tier2,Salary,64,2941.07,696,Home Loan,Active,3320.38,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00031,61,Female,Retired,375430.27,Divorced,Secondary,Chennai,Tier1,Senior Citizen,226,204876.15,815,Personal Loan,Defaulted,0.0,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00032,22,Male,Business Owner,1701799.84,Single,Tertiary,Kolkata,Tier1,Savings,139,354330.39,732,None,None,0.0,1,35.2,0,,Never Contacted,Business Growth
CUST00033,32,Female,Salaried,472317.86,Married,Secondary,Kolkata,Tier1,Savings,27,51546.71,722,Home Loan,Active,3838.99,1,23.9,0,,Never Contacted,Mass Salaried Regular
CUST00034,47,Male,Salaried,598068.11,Married,Secondary,Jaipur,Tier2,Savings,193,157890.78,708,None,None,0.0,1,32.6,0,,Never Contacted,Mass Salaried Regular
CUST00035,56,Female,Salaried,524463.74,Married,Tertiary,Patna,Tier3,Savings,115,27473.26,681,None,None,0.0,0,0.0,1,433.0,Failure,Young Digital
CUST00036,34,Female,Salaried,312881.24,Married,Tertiary,Chandigarh,Tier2,Salary,187,244912.48,748,None,None,0.0,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00037,22,Male,Salaried,461626.02,Single,Secondary,Bengaluru,Tier1,Salary,100,33271.39,696,Home Loan,Active,12732.6,1,32.4,0,,Never Contacted,Mass Salaried Regular
CUST00038,30,Female,Student,120000.0,Single,Tertiary,Kochi,Tier2,Student,19,39736.6,695,None,None,0.0,0,0.0,1,535.0,Failure,Young Digital
CUST00039,40,Female,Salaried,275811.63,Married,Secondary,Indore,Tier2,Savings,176,28902.06,713,Personal Loan,Defaulted,0.0,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00040,31,Male,Homemaker,129108.34,Single,Primary,Chennai,Tier1,Salary,24,64356.03,730,None,None,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00041,22,Female,Salaried,181467.85,Single,Secondary,Chandigarh,Tier2,Salary,131,11988.47,605,None,None,0.0,1,21.3,0,,Never Contacted,Young Digital
CUST00042,40,Female,Self-Employed,575632.74,Married,Secondary,Bhopal,Tier3,Salary,61,9845.02,413,Home Loan,Closed,0.0,1,75.2,0,,Never Contacted,Credit Stressed
CUST00043,50,Male,Homemaker,176677.78,Married,Unknown,Bengaluru,Tier1,Savings,103,7666.24,734,None,None,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00044,49,Male,Salaried,573617.9,Married,Secondary,Mumbai,Tier1,Salary,2,37280.63,706,Home Loan,Active,4105.88,1,29.5,0,,Never Contacted,Mass Salaried Regular
CUST00045,44,Female,Self-Employed,452044.08,Married,Primary,Patna,Tier3,Current,69,4555.23,417,Home Loan,Defaulted,0.0,1,70.4,0,,Never Contacted,Credit Stressed
CUST00046,58,Male,Retired,369160.38,Married,Secondary,Mumbai,Tier1,Savings,37,497002.44,786,None,None,0.0,1,10.1,0,,Never Contacted,Retiree Conservative
CUST00047,41,Female,Professional,565505.58,Married,Secondary,Patna,Tier3,Savings,175,66749.53,667,Home Loan,Active,14655.0,1,28.2,0,,Never Contacted,Mass Salaried Regular
CUST00048,25,Male,Salaried,765890.29,Married,Primary,Ahmedabad,Tier2,Current,90,38836.45,744,None,None,0.0,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00049,31,Female,Homemaker,254985.37,Married,Tertiary,Pune,Tier1,Salary,104,1886.91,688,None,None,0.0,1,25.9,0,,Never Contacted,Dormant Inactive
CUST00050,53,Female,Salaried,325640.21,Married,Unknown,Coimbatore,Tier2,Savings,127,216206.2,727,Home Loan,Active,3474.48,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00051,40,Male,Salaried,330241.68,Divorced,Secondary,Patna,Tier3,Savings,81,102592.63,716,Home Loan,Active,5014.93,1,20.9,0,,Never Contacted,Mass Salaried Regular
CUST00052,28,Other,Professional,2099314.45,Single,Tertiary,Nagpur,Tier2,Savings,224,472347.46,842,Home Loan,Closed,0.0,1,11.9,0,,Never Contacted,Priority Affluent
CUST00053,58,Male,Homemaker,324431.78,Married,Primary,Patna,Tier3,Savings,67,196511.62,790,Home Loan,Closed,0.0,0,0.0,0,,Never Contacted,Retiree Conservative
CUST00054,47,Male,Salaried,241645.6,Married,Secondary,Bhopal,Tier3,Savings,159,2808.75,659,None,None,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00055,39,Female,Homemaker,262386.23,Married,Tertiary,Kolkata,Tier1,Savings,13,4562.34,653,Home Loan,Active,2645.43,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00056,58,Male,Retired,672156.04,Married,Secondary,Ranchi,Tier3,Salary,62,96920.93,775,Personal Loan,Closed,0.0,1,5.4,0,,Never Contacted,Retiree Conservative
CUST00057,30,Male,Student,224649.01,Single,Secondary,Pune,Tier1,Student,174,30491.08,631,None,None,0.0,1,25.0,1,433.0,Success,Young Digital
CUST00058,24,Male,Salaried,388867.5,Single,Secondary,Bengaluru,Tier1,Savings,142,24871.41,644,None,None,0.0,0,0.0,1,412.0,Other,Young Digital
CUST00059,33,Male,Professional,1446167.1,Single,Secondary,Patna,Tier3,Salary,22,96502.06,691,Home Loan,Active,21197.74,1,26.8,1,359.0,Failure,Mass Salaried Regular
CUST00060,50,Male,Professional,2435089.34,Married,Tertiary,Delhi,Tier1,Savings,82,255341.9,787,Home Loan,Active,64244.18,1,9.0,0,,Never Contacted,Priority Affluent
CUST00061,56,Male,Salaried,181651.72,Married,Secondary,Chennai,Tier1,Current,48,6392.21,639,Home Loan,Active,3393.17,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00062,38,Female,Salaried,353296.27,Married,Unknown,Bengaluru,Tier1,Savings,219,5201.13,646,None,None,0.0,0,0.0,1,385.0,Failure,Young Digital
CUST00063,27,Female,Salaried,285149.98,Single,Secondary,Indore,Tier2,Salary,181,14364.57,615,Home Loan,Active,5830.33,0,0.0,0,,Never Contacted,Young Digital
CUST00064,64,Male,Retired,363214.44,Divorced,Primary,Bhopal,Tier3,Senior Citizen,38,194609.42,774,None,None,0.0,1,2.9,0,,Never Contacted,Retiree Conservative
CUST00065,53,Male,Salaried,367576.91,Married,Primary,Nagpur,Tier2,Salary,141,10144.93,697,Home Loan,Active,2777.39,0,0.0,1,287.0,Failure,Dormant Inactive
CUST00066,37,Female,Self-Employed,286700.11,Married,Secondary,Mumbai,Tier1,Savings,58,30138.46,691,Home Loan,Active,5276.78,0,0.0,10,91.0,Failure,Young Digital
CUST00067,26,Other,Salaried,313414.56,Single,Secondary,Patna,Tier3,Savings,183,24376.75,683,Home Loan,Active,7477.56,0,0.0,0,,Never Contacted,Young Digital
CUST00068,32,Male,Salaried,742618.44,Single,Secondary,Mumbai,Tier1,Savings,96,32163.24,673,Home Loan,Active,14535.7,1,31.8,0,,Never Contacted,Mass Salaried Regular
CUST00069,27,Female,Business Owner,3392076.58,Single,Tertiary,Indore,Tier2,Savings,78,501827.11,867,Home Loan,Active,44599.08,1,17.4,0,,Never Contacted,Priority Affluent
CUST00070,19,Female,Salaried,249227.2,Single,Secondary,Delhi,Tier1,Savings,69,15688.13,718,None,None,0.0,0,0.0,0,,Never Contacted,Young Digital
CUST00071,48,Male,Salaried,551048.87,Married,Secondary,Kochi,Tier2,Current,221,134682.75,705,None,None,0.0,1,25.1,0,,Never Contacted,Mass Salaried Regular
CUST00072,30,Male,Professional,903903.63,Divorced,Secondary,Pune,Tier1,Savings,109,39797.18,685,Home Loan,Active,9088.91,1,22.6,0,,Never Contacted,Mass Salaried Regular
CUST00073,42,Female,Self-Employed,175974.69,Married,Secondary,Delhi,Tier1,Savings,74,1474.52,382,Personal Loan,Active,1923.44,1,76.0,0,,Never Contacted,Credit Stressed
CUST00074,28,Male,Salaried,825085.75,Single,Tertiary,Nagpur,Tier2,Salary,72,49787.57,766,Personal Loan,Active,15477.79,1,38.6,0,,Never Contacted,Mass Salaried Regular
CUST00075,28,Male,Professional,4487518.53,Single,Tertiary,Bengaluru,Tier1,Salary,223,476728.97,843,Home Loan,Active,93691.8,1,14.8,0,,Never Contacted,Priority Affluent
CUST00076,29,Female,Salaried,800573.1,Divorced,Secondary,Ranchi,Tier3,Salary,92,118423.29,737,Home Loan,Active,15053.99,1,24.1,0,,Never Contacted,Mass Salaried Regular
CUST00077,54,Female,Salaried,423307.85,Married,Primary,Chandigarh,Tier2,Current,228,38836.45,686,Education Loan,Active,7845.23,0,0.0,0,,Never Contacted,Mass Salaried Regular
CUST00078,59,Female,Salaried,346273.71,Divorced,Primary,Mumbai,Tier1,Current,177,13676.31,612,None,None,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
CUST00079,24,Female,Salaried,308777.03,Single,Tertiary,Hyderabad,Tier1,Savings,13,13062.31,723,None,None,0.0,0,0.0,0,,Never Contacted,Young Digital
CUST00080,66,Male,Retired,307387.77,Married,Secondary,Delhi,Tier1,Senior Citizen,201,170941.37,733,None,None,0.0,0,0.0,2,181.0,Failure,Retiree Conservative
CUST00081,28,Male,Self-Employed,205881.61,Married,Secondary,Ahmedabad,Tier2,Savings,238,3193.22,686,Personal Loan,Closed,0.0,0,0.0,0,,Never Contacted,Dormant Inactive
