CustomerID,SavingsAccount,CreditCard,FixedDeposit,Insurance,Investment,Loan,NumProductsOwned
CUST00001,1,0,1,1,1,0,4
CUST00002,1,1,0,0,1,1,4
CUST00003,1,1,0,1,0,1,4
CUST00004,1,1,0,1,0,1,4
CUST00005,1,1,1,0,1,1,5
CUST00006,1,0,0,1,0,0,2
CUST00007,1,0,0,1,1,1,4
CUST00008,1,0,1,1,0,1,4
CUST00009,1,1,1,0,0,1,4
CUST00010,1,0,0,0,0,1,2
CUST00011,1,1,0,0,0,1,3
CUST00012,1,0,0,1,0,0,2
CUST00013,1,1,0,0,0,0,2
CUST00014,1,1,0,0,0,1,3
CUST00015,1,0,0,0,0,1,2
CUST00016,1,0,0,1,1,1,4
CUST00017,1,0,0,0,1,1,3
CUST00018,1,1,0,1,1,1,5
CUST00019,1,1,0,0,0,0,2
CUST00020,1,0,0,1,0,0,2
CUST00021,1,0,1,0,0,0,2
CUST00022,1,0,0,1,0,1,3
CUST00023,1,1,0,0,0,1,3
CUST00024,1,1,0,0,0,1,3
CUST00025,1,0,0,1,0,0,2
CUST00026,1,1,0,0,0,1,3
CUST00027,1,0,0,0,1,1,3
CUST00028,1,0,1,1,1,1,5
CUST00029,1,0,0,1,0,1,3
CUST00030,1,0,0,0,0,1,2
CUST00031,1,0,1,0,0,1,3
CUST00032,1,1,0,0,1,0,3
CUST00033,1,1,0,0,0,1,3
CUST00034,1,1,0,1,0,0,3
CUST00035,1,0,0,1,1,0,3
CUST00036,1,0,1,1,1,0,4
CUST00037,1,1,0,1,0,1,4
CUST00038,1,0,1,0,1,0,3
CUST00039,1,0,0,0,0,1,2
CUST00040,1,0,0,0,0,0,1
CUST00041,1,1,0,0,0,0,2
CUST00042,0,1,0,0,0,1,2
CUST00043,1,0,0,0,0,0,1
CUST00044,1,1,1,0,1,1,5
CUST00045,1,1,0,0,0,1,3
CUST00046,1,1,1,0,0,0,3
CUST00047,1,1,1,1,0,1,5
CUST00048,1,0,0,0,0,0,1
CUST00049,1,1,0,0,0,0,2
CUST00050,1,0,1,1,1,1,5
CUST00051,1,1,0,0,1,1,4
CUST00052,1,1,1,1,1,1,6
CUST00053,1,0,1,0,0,1,3
CUST00054,1,0,0,0,0,0,1
CUST00055,1,0,0,0,0,1,2
CUST00056,1,1,1,1,0,1,5
CUST00057,1,1,0,1,1,0,4
CUST00058,1,0,0,0,0,0,1
CUST00059,1,1,1,0,0,1,4
CUST00060,1,1,1,1,1,1,6
CUST00061,1,0,0,0,0,1,2
CUST00062,1,0,0,0,0,0,1
CUST00063,1,0,0,0,0,1,2
CUST00064,1,1,1,1,0,0,4
CUST00065,1,0,0,0,0,1,2
CUST00066,1,0,0,1,0,1,3
CUST00067,1,0,0,0,0,1,2
CUST00068,1,1,1,1,0,1,5
CUST00069,1,1,1,1,1,1,6
CUST00070,1,0,0,0,0,0,1
CUST00071,1,1,0,0,0,0,2
CUST00072,1,1,0,0,0,1,3
CUST00073,1,1,0,0,0,1,3
CUST00074,1,1,0,0,1,1,4
CUST00075,1,1,0,1,0,1,4
CUST00076,1,1,0,0,0,1,3
CUST00077,1,0,1,0,0,1,3
CUST00078,1,0,0,0,0,0,1
CUST00079,1,0,0,0,0,0,1
CUST00080,1,0,1,1,0,0,3
CUST00081,1,0,0,0,0,1,2
CUST00082,1,1,0,0,0,1,3
CUST00083,1,0,1,1,0,0,3
CUST00084,1,0,1,0,1,1,4
CUST00085,1,1,0,1,0,1,4
CUST00086,1,1,1,0,1,0,4
CUST00087,1,0,1,1,0,0,3
CUST00088,1,1,0,0,0,0,2
CUST00089,1,0,1,0,0,1,3
CUST00090,1,0,0,0,0,0,1
CUST00091,1,0,0,0,0,1,2
CUST00092,1,0,0,0,0,0,1
CUST00093,1,0,0,0,0,0,1
CUST00094,1,0,0,0,0,1,2
CUST00095,1,1,1,0,1,1,5
CUST00096,1,0,0,0,0,0,1
CUST00097,1,1,0,0,1,1,4
CUST00098,1,1,1,1,1,1,6
CUST00099,1,1,1,1,0,1,5
CUST00100,1,1,1,1,1,1,6
CUST00101,1,1,0,0,0,0,2
CUST00102,1,0,1,1,0,1,4
CUST00103,1,1,0,1,0,1,4
CUST00104,1,1,0,0,0,0,2
CUST00105,1,0,1,1,0,1,4
CUST00106,1,0,0,1,0,0,2
CUST00107,1,0,0,0,0,1,2
CUST00108,1,0,0,0,1,0,2
CUST00109,1,1,1,1,0,1,5
CUST00110,1,1,1,0,0,1,4
CUST00111,1,0,1,0,0,1,3
CUST00112,1,1,0,1,0,1,4
